사업장명,좌표정보(X),좌표정보(Y)
한마음정육식당 천호점,212376.2067,448791.0714
메이민,212854.9708,448396.8075
정통춘천닭갈비,212102.5418,448338.9981
장안면옥,213672.8863,449363.433
종로곱창 닭갈비,211442.0488,449969.8139
청사초롱,214958.6215,449311.6581
김가네김밥,211378.804,446959.9376
등나무 순대국,211099.709,448893.8099
더 파크뷰,211761.1789,448086.9172
수원왕갈비와이동갈비,211317.6405,449871.5214
술독에빠진날,212574.4073,448762.6557
홍보네탁주,210980.4987,449148.2786
아우네 쭈꾸미 꼼장어,212582.9178,449942.7745
째즈,213652.4173,449652.1926
육회 공작소,211082.9139,448527.6606
짠커피호프,211753.2204,449490.2984
뽕스언니,211534.3082,448962.6716
바지락칼국수,212474.3029,448772.0952
유미마라탕,211064.7925,448284.0265
페리카나,213511.9825,451056.4169
생고기 숯불구이,212935.2266,448329.9396
구민커피호프,212357.7569,449321.746
동촌,211872.5373,447468.3211
김밥천국,214859.4323,450585.6514
송가네오리사냥,212558.8334,449986.7402
천호곱창,212484.6394,449351.2363
미니회바(해물나라),211067.8894,448359.7137
행복한밥상,212561.137,447394.5475
최가네순대,211390.5175,450027.7775
봉주아나(BonjourAna),210825.7468,447588.0676
이디야(고덕점),213640.2783,450219.03
뻘숯불갈비 곱창전골,214944.9308,451053.5779
오가도숯불바베큐치킨,211706.3555,449207.81
상록분식,211695.8421,447062.9167
고향집손칼국수,213620.6833,450050.9095
참새치킨호프,214154.0995,451170.176
새벽감자탕,210968.2,448119.1046
뚝배기손칼국수,212561.166,448051.4241
민속촌,214858.4304,450605.2932
천호수산,211565.6033,449009.1665
누나식당,211531.3083,447693.7867
네오피자,212270.5728,449040.5414
벌교꼬막2호점,212111.2424,448503.8393
김수환식당((구)서울육개장 짚불고기),210810.6313,447335.2583
비턴,211815.378,447052.6138
영명국밥,211105.7796,448758.4345
한신포차,211185.1835,448606.6099
칼통삼겹살,211494.4541,448831.5211
양수리매운탕,210984.5332,448865.7631
세꼬시,212126.0383,447918.9622
은아식당,210655.8135,447535.7419
대가식당,210931.0052,448917.6226
길동 통골뱅이 아씨,212102.5418,448338.9981
옹기 민물장어,210736.9369,447532.3047
명동식당,211128.127,449679.6633
오씨네,210800.8412,447372.7505
춘천닭갈비이드래요,215147.2723,449854.5008
암사파닭치킨,211241.8243,449823.9265
다람쥐마을,211684.1234,446932.0648
초원,212491.903,447730.8198
우드멜로우(woodmellow),213634.4805,451207.4407
전주식당,212396.921,449483.67
암사쪽갈비 길동점,212355.4279,448272.6074
가마로강정 길동역점,212394.3932,448506.5779
장인닭갈비 천호점,211063.166,448459.0339
스카이라운지,211761.1789,448086.9172
천호곱창,211382.1498,448597.5085
명동식당,211312.0237,449851.9528
매우당 (천호점),211136.4071,448256.7831
치킨짱등갈비,211829.5206,449478.7352
명동찌개마을,211827.0354,447008.5243
치킨뱅이,211132.0543,448553.3593
열혈푸드,211579.2754,448569.5929
큰맘할매순대국,211934.4175,447461.4701
쉼 힐링카페,211241.3541,448484.0268
길동한우곱창,212068.5306,448392.3934
암사민물장어,211327.3482,450307.0544
구일식당,211880.0298,450359.6408
오륜정,210726.7559,447381.5317
편백마을,210691.7006,447432.2328
산지직송포장마차,212614.5944,448617.2028
압구정 봉구비어,211169.7127,448173.1311
배나무집,212966.4584,447193.5161
황금오리,212567.2323,449920.0099
할매보쌈양평해장국,211099.0191,449509.9414
한영생고기장터,213630.1171,449515.761
의정부 부대찌개,212459.946,449108.8272
비비큐,215094.3241,449735.9522
백제추어탕,212135.4834,447700.9628
윤가네오리구이,212161.4304,447501.0952
이레,211295.9819,450266.4173
데니쉬숯불바베큐,215201.8196,449694.5792
고향역,211434.7941,450177.7893
차돌엔낙지,211723.3574,449344.4613
엄마밥상,210860.9599,447390.1939
춘향골남원추어탕,212200.1375,448346.2851
영양왕족발순대국,211886.6924,447316.4816
윤희네,211596.2353,448456.4496
아키노유키,211109.2357,448524.4614
하늘빛우렁쌈밥,210777.6429,447353.4225
조선화로집 올림픽공원점,211685.2902,446692.4397
냄비와 물통,211941.9739,447486.9323
무등골,211490.3261,448516.0503
동태마을,211434.7941,450177.7893
풍성한맛집,211957.603,447530.1599
방가네 남원추어탕,211001.7389,448976.5401
갯마을칼국수,211294.2922,450008.4938
강천민물장어,211466.8855,450264.2764
다인카페,211671.5853,446777.5586
풀코스고덕본점,213551.2758,450854.5347
소문난칼국수,211980.2483,448111.0603
쪼끼쪼끼,210777.6429,447353.4225
105,211932.3409,447896.2903
통가마막창구이,211129.8689,449789.7795
터,211934.4175,447461.4701
군자대한곱창 천호점,211068.1,448520.5737
해녀집,212086.6548,448285.7444
고여사,212596.4466,449941.8677
이차전,211236.2918,448555.1723
블레드&푸드 천호점,211723.3574,449344.4613
부흥반점,211185.5349,449001.4302
닭나라.정,210928.1457,449257.5141
이구동성,211851.0819,447242.3958
찬호네 맛집,211851.0819,447242.3958
하남촌,214970.8142,449373.5679
나이스한식,212086.6548,448285.7444
천호식당,210911.2597,448924.6983
호박오리,210711.8077,448669.1103
LA돈까스,212456.5594,448322.8452
마산 아구찜,212336.8021,448016.9332
아빠가만든스파게티,211773.1429,446778.592
공원호프,211061.8129,449022.673
