name,lat,lon
인디안숯불바베큐,37.5479212,127.143049
서역기행,37.5385230,127.127960
루틴,37.5379923,127.127088
명일곱창,37.5500100,127.144287
명월식당,37.5425931,127.130196
할머니사철탕,37.5426248,127.134111
풍년비빔국수,37.5370563,127.126159
함경면옥,37.5235911,127.130186
마포돼지농장,37.5360830,127.126338
지중해왕돈까스,37.5300064,127.138015
소문난곱창집,37.5276220,127.135182
이경태누렁소국밥집,37.5373378,127.140314
전주해장국,37.5606701,127.157470
천호통큰아구나라,37.5451476,127.141867
금호식당,37.5366272,127.131363
개삼터 오리전문점,37.5428744,127.144149
시골밥상,37.5304541,127.124168
안녕식당,37.5360834,127.125987
소문난순대곱창,37.5523608,127.129308
화진포막국수,37.5284355,127.124493
예우랑 강동구청점,37.5312473,127.123852
단골숯불갈비,37.5374367,127.140518
군산아구,37.5524719,127.142481
대관령 두부마을,37.5275435,127.124514
명일오겹살,37.5486678,127.144114
대방양곱창구이,37.5335050,127.143293
홍콩,37.5345903,127.131925
장원아구찜,37.5541230,127.155136
해장리,37.5357009,127.137867
정자네식당,37.5484451,127.125963
강동숯불,37.5317499,127.149151
둥지호프,37.5413846,127.139156
시골포장마차,37.5360834,127.125987
(주)씨네플랜,37.5285159,127.125126
마루,37.5469591,127.141452
송가네,37.5541585,127.155555
캘리포니아,37.5392081,127.127679
케이컴퍼니,37.5424407,127.137506
라화쿵부 길동점,37.5370049,127.139894
통도야지,37.5444111,127.131965
엄마손식당,37.5380682,127.139783
또래오래,37.5606278,127.162110
미니집,37.5375338,127.126171
1950's,37.5385063,127.126727
아지트 7080,37.5385391,127.137748
짝태&노가리,37.5359729,127.136385
부부만두양념삼겹,37.5604222,127.154119
김가네김밥,37.5539062,127.155543
페리카나,37.5424856,127.129574
에스앤푸드(SN FOOD),37.5282389,127.122954
프라자출장부페,37.5353911,127.148219
방울이팥칼국수,37.5423284,127.133217
수,37.5301958,127.137834
육회명가,37.5378780,127.140620
송원,37.5503508,127.172612
한마음정육식당 천호점,37.5412836,127.140808
메이민,37.5377181,127.146221
정통춘천닭갈비,37.5372057,127.137700
장안면옥,37.5464190,127.155483
종로곱창 닭갈비,37.5519093,127.130258
청사초롱,37.5459306,127.170034
김가네김밥,37.5248263,127.129396
더 파크뷰,37.5351291,127.133612
술독에빠진날,37.5410196,127.143047
홍보네탁주,37.5445177,127.125017
아우네 쭈꾸미 꼼장어,37.5516512,127.143158
째즈,37.5490232,127.155262
육회 공작소,37.5389213,127.126162
짠커피호프,37.5475896,127.133769
뽕스언니,37.5428351,127.131283
바지락칼국수,37.5411111,127.141916
유미마라탕,37.5367231,127.125955
페리카나,37.5616751,127.153692
생고기 숯불구이,37.5371134,127.147125
구민커피호프,37.5460591,127.140601
동촌,37.5293700,127.135083
김밥천국,37.5574019,127.168860
송가네 오리주물럭,37.5520480,127.142887
천호곱창,37.5463277,127.142039
행복한밥상,37.5286942,127.142877
최가네순대,37.5524325,127.129670
봉주아나(BonjourAna),37.5304550,127.123240
이디야(고덕점),37.5541230,127.155136
뻘숯불갈비 곱창전골,37.5616261,127.169911
오가도숯불바베큐치킨,37.5450404,127.133233
상록분식,37.5257143,127.133075
고향집손칼국수,37.5525555,127.154952
참새치킨호프,37.5626926,127.160972
새벽감자탕,37.5352466,127.124866
뚝배기손칼국수,37.5346138,127.142888
민속촌,37.5575821,127.168849
천호수산,37.5432582,127.131634
누나식당,37.5314016,127.131229
네오피자,37.5435285,127.139612
벌교꼬막2호점,37.5386922,127.137804
김수환식당((구)서울육개장 짚불고기),37.5281847,127.123067
비턴,37.5256226,127.134432
칼통삼겹살,37.5421921,127.134303
양수리매운탕,37.5419679,127.125058
세꼬시,37.5334212,127.137964
은아식당,37.5299885,127.121316
대가식당,37.5424370,127.124459
길동 통골뱅이 아씨,37.5372057,127.137700
옹기 민물장어,37.5299605,127.122244
명동식당,37.5493002,127.126700
오씨네,37.5285182,127.122954
춘천닭갈비이드래요,37.5508199,127.172184
암사파닭치킨,37.5505963,127.127981
성내동다람,37.5245341,127.132948
초원,37.5316956,127.142012
우드멜로우(woodmellow),37.5630338,127.155087
전주식당,37.5475182,127.141046
암사쪽갈비 길동점,37.5366077,127.140561
