주소,위도,경도
서울특별시 강동구 올림픽로93길 36,37.5502366,127.1240839
서울특별시 강동구 구천면로 494-1,37.5502967,127.140397
서울특별시 강동구 양재대로89가길 58,37.5244081,127.1341549
서울특별시 강동구 동남로71길 38,37.5517534,127.1543327
서울특별시 강동구 성안로 13,37.53206,127.13276
서울특별시 강동구 동남로49길 60,37.5325157,127.1481265
서울특별시 강동구 구천면로 383,37.5508644,127.1413822
서울특별시 강동구 고덕로20가길 14-21,37.5531672,127.1351886
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 상암로 11,37.54750065,127.1586603
서울특별시 강동구 아리수로50길 50,37.5588261,127.1488077
서울특별시 강동구 아리수로50길 50,37.5588261,127.1488077
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 아리수로50길 50,37.5588261,127.1488077
서울특별시 강동구 양재대로 1307,37.5312359,127.138644
서울특별시 강동구 구천면로 494-1,37.5502967,127.140397
서울특별시 강동구 양재대로 1377,37.5312359,127.138644
서울특별시 강동구 동남로65길 6,37.5482834,127.1534894
서울특별시 강동구 성안로 201,37.53206,127.13276
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 동남로65길 46,37.5482834,127.1534894
서울특별시 강동구 천중로5길 33,37.5466584,127.1237846
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 동남로67길 43,37.5487787,127.1540974
서울특별시 강동구 명일로 171,37.55213,127.14981
서울특별시 강동구 아리수로93가길 25,37.5690627,127.1721453
서울특별시 강동구 고덕로 110,37.5543004,127.1430187
서울특별시 강동구 아리수로68길 44,37.5613814,127.1565809
서울특별시 강동구 양재대로89길 32,37.5273921,127.1324983
서울특별시 강동구 상암로41길 9,37.5496158,127.1404872
서울특별시 강동구 동남로75길 13-7,37.553735,127.1557531
서울특별시 강동구 상암로12길 20,37.5483168,127.1280777
서울특별시 강동구 상암로 11,37.54750065,127.1586603
서울특별시 강동구 구천면로 656,37.5502967,127.140397
서울특별시 강동구 풍성로 156-1,37.53199,127.12516
서울특별시 강동구 성안로9길 40,37.5284932,127.1306253
서울특별시 강동구 고덕로 89,37.5543004,127.1430187
서울특별시 강동구 상일로 43,37.553051,127.1723493
서울특별시 강동구 천중로53길 9,37.5424008,127.1456229
서울특별시 강동구 동남로81길 100,37.5596187,127.1530782
서울특별시 강동구 구천면로 504,37.5502967,127.140397
서울특별시 강동구 동남로67길 44,37.5487787,127.1540974
서울특별시 강동구 아리수로 421,37.55978,127.14537
서울특별시 강동구 동남로49길 67-18,37.5325157,127.1481265
서울특별시 강동구 동남로79길 26,37.5575905,127.1542149
서울특별시 강동구 고덕로 140,37.5543004,127.1430187
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 고덕로 140,37.5543004,127.1430187
서울특별시 강동구 진황도로 180,37.5244692,127.1458976
서울특별시 강동구 동남로75길 13-25,37.553735,127.1557531
서울특별시 강동구 암사길 110,37.552223,127.1375409
